learning_rate,depth,iterations,average_rmse,training_time
0.18192493928525535,9,872,89.1396992027576,334.5199873447418
0.2557030042473964,7,446,88.24598274517265,124.68826293945312
0.09628503589789697,3,345,85.39003884469226,48.77953553199768
0.1485228840231915,9,532,87.62421630891282,228.24834418296814
0.12390759086924064,9,404,86.8013126207468,152.98786687850952
0.1979698428948472,6,961,88.31039219352932,227.84719443321228
0.0507017263196671,9,526,85.77930315625602,199.91595005989075
0.2422641180740969,7,711,89.23536285432196,196.58916425704956
0.01,4,411,84.65300814726056,63.12196111679077
0.01,3,1000,84.72018618044277,118.1186671257019
0.01,3,501,84.67715667347522,60.058265209198
0.020351145212121325,10,100,85.35951331546923,42.95539879798889
0.01,4,317,85.07215932468543,51.03741264343262
0.01,3,672,84.68943446119667,81.42888641357422
0.01,3,690,84.68715982673315,80.94548177719116
0.01,5,627,84.74179155919356,121.16808724403381
0.01,3,583,84.66616265724431,69.97882914543152
0.01,3,556,84.65713205553784,70.00255346298218
0.01,4,441,84.6669262435903,74.38934683799744
0.01,5,489,84.71783904179865,134.27728271484375
0.01,4,522,84.67578627738126,90.0756163597107
0.01,3,854,84.70537429701115,99.64769577980042
0.01,4,513,84.67228966470024,82.04978919029236
0.3,3,100,85.7449412652197,11.704586505889893
0.01,3,419,84.67794430848281,46.48774528503418
0.01,6,1000,84.91169133238283,223.05857610702515
0.01,3,774,84.69663487849033,86.20650815963745
0.019682324158056146,4,417,84.74131894795431,49.9627251625061
0.15314362465358014,3,100,85.721192391717,9.318695783615112
0.01,5,797,84.7706861459753,140.82557082176208
0.01,3,602,84.67063209214623,65.22504425048828
0.01,5,411,84.70515337541826,71.21065020561218
0.01,10,786,85.17364326141426,335.6109561920166
0.3,10,100,87.59614873529688,32.07453513145447
0.01,3,935,84.71602152149009,88.70952367782593
0.01,4,448,84.66605835800173,54.85358643531799
0.01,10,1000,85.2399286827931,377.2584195137024
0.01,10,329,85.23479171856386,120.1848292350769
0.03808059097527272,3,1000,85.36186920920734,85.87724256515503
0.01,3,548,84.65465637127753,49.93996500968933
